Day,Predicted Sales
1237,2661.232214499534
1238,2662.589903589349
1239,2663.947592679164
1240,2665.3052817689786
1241,2666.662970858794
1242,2668.0206599486087
1243,2669.3783490384235
1244,2670.7360381282388
1245,2672.0937272180536
1246,2673.4514163078684
1247,2674.8091053976837
1248,2676.1667944874985
1249,2677.5244835773133
1250,2678.882172667128
1251,2680.2398617569434
1252,2681.597550846758
1253,2682.955239936573
1254,2684.3129290263882
1255,2685.670618116203
1256,2687.028307206018
1257,2688.385996295833
1258,2689.743685385648
1259,2691.1013744754628
1260,2692.4590635652776
1261,2693.816752655093
1262,2695.1744417449077
1263,2696.5321308347225
1264,2697.8898199245377
1265,2699.2475090143525
1266,2700.6051981041674
